Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-09-26,Freiburg,Augsburg,3,0,H,3,0,H,,19,8,9,2,11,13,6,3,0,1,0,0
2021-10-01,FC Koln,Greuther Furth,3,1,H,0,1,A,,18,7,8,3,16,18,8,1,1,1,0,0
2021-10-02,Dortmund,Augsburg,2,1,H,1,1,D,,17,5,3,3,9,16,7,3,1,3,0,0
2021-10-02,Hertha,Freiburg,1,2,A,0,1,A,,12,9,3,4,17,15,4,9,3,0,0,0
2021-10-02,Stuttgart,Hoffenheim,3,1,H,1,0,H,,12,13,6,4,14,12,9,4,0,1,0,0
2021-10-02,Wolfsburg,M'gladbach,1,3,A,1,2,A,,10,19,5,11,17,10,4,6,7,3,1,0
2021-10-02,RB Leipzig,Bochum,3,0,H,0,0,D,,15,9,9,2,10,16,2,3,1,1,0,0
2021-10-03,Mainz,Union Berlin,1,2,A,1,0,H,,11,15,4,3,15,6,2,5,2,4,1,0
2021-10-03,Bayern Munich,Ein Frankfurt,1,2,A,1,1,D,,21,5,11,3,6,8,10,1,2,1,0,0
2021-10-03,Bielefeld,Leverkusen,0,4,A,0,2,A,,10,19,3,7,13,7,2,4,4,1,0,0
2021-10-15,Hoffenheim,FC Koln,5,0,H,1,0,H,,14,10,8,0,13,7,3,3,1,1,0,0
2021-10-16,Dortmund,Mainz,3,1,H,1,0,H,,11,5,5,2,7,12,6,2,2,4,0,0
2021-10-16,Ein Frankfurt,Hertha,1,2,A,0,1,A,,13,12,5,6,17,16,7,4,1,2,0,0
2021-10-16,Freiburg,RB Leipzig,1,1,D,0,1,A,,15,13,2,4,10,17,8,5,0,4,0,0
2021-10-16,Greuther Furth,Bochum,0,1,A,0,0,D,,12,9,3,2,16,16,4,3,2,4,0,0
2021-10-16,Union Berlin,Wolfsburg,2,0,H,0,0,D,,6,13,3,4,7,16,3,3,3,1,0,0
2021-10-16,M'gladbach,Stuttgart,1,1,D,1,1,D,,31,5,8,2,14,21,9,1,3,3,0,0
2021-10-17,Leverkusen,Bayern Munich,1,5,A,0,5,A,,7,27,4,11,9,9,4,7,0,0,0,0
2021-10-17,Augsburg,Bielefeld,1,1,D,1,0,H,,14,10,6,3,8,15,9,5,3,1,0,0
2021-10-22,Mainz,Augsburg,4,1,H,3,0,H,,19,6,8,2,9,11,6,2,1,3,0,0
2021-10-23,Bayern Munich,Hoffenheim,4,0,H,2,0,H,,15,9,7,2,4,18,4,2,0,4,0,0
2021-10-23,Bielefeld,Dortmund,1,3,A,0,2,A,,13,14,6,7,13,9,7,2,1,0,0,0
2021-10-23,RB Leipzig,Greuther Furth,4,1,H,0,1,A,,13,8,5,4,15,12,3,4,2,0,0,0
2021-10-23,Wolfsburg,Freiburg,0,2,A,0,1,A,,17,11,4,4,17,15,7,1,3,0,0,0
2021-10-23,Hertha,M'gladbach,1,0,H,1,0,H,,10,10,4,1,11,21,2,6,2,2,0,0
2021-10-24,FC Koln,Leverkusen,2,2,D,0,2,A,,17,9,5,6,10,15,6,6,1,3,0,0
2021-10-24,Stuttgart,Union Berlin,1,1,D,0,1,A,,8,11,2,3,16,13,1,2,3,1,1,0
2021-10-24,Bochum,Ein Frankfurt,2,0,H,1,0,H,,19,14,7,6,9,11,4,7,0,2,0,0
2021-10-29,Hoffenheim,Hertha,2,0,H,2,0,H,,14,5,3,2,15,9,9,4,2,1,0,1
2021-10-30,Bielefeld,Mainz,1,2,A,1,1,D,,15,16,7,6,16,9,6,6,2,3,0,0
2021-10-30,Dortmund,FC Koln,2,0,H,1,0,H,,7,19,4,6,10,11,4,3,2,3,0,0
2021-10-30,Freiburg,Greuther Furth,3,1,H,2,0,H,,12,8,5,4,10,13,5,2,0,2,0,0
2021-10-30,Leverkusen,Wolfsburg,0,2,A,0,0,D,,12,13,1,8,11,15,10,2,3,2,0,1
2021-10-30,Union Berlin,Bayern Munich,2,5,A,1,3,A,,9,14,6,6,9,7,6,1,1,1,0,0
2021-10-30,Ein Frankfurt,RB Leipzig,1,1,D,0,1,A,,12,15,3,7,11,9,5,5,1,1,0,0
2021-10-31,Augsburg,Stuttgart,4,1,H,1,1,D,,20,12,12,3,15,12,7,5,3,4,0,0
2021-10-31,M'gladbach,Bochum,2,1,H,2,0,H,,14,11,5,4,7,15,9,1,1,1,0,0
2021-11-05,Mainz,M'gladbach,1,1,D,0,1,A,,19,11,8,5,15,8,9,1,3,3,0,0
2021-11-06,Bayern Munich,Freiburg,2,1,H,1,0,H,,29,14,11,4,5,13,6,4,0,0,0,0
2021-11-06,Bochum,Hoffenheim,2,0,H,0,0,D,,14,9,4,1,7,20,2,4,1,5,0,0
2021-11-06,Stuttgart,Bielefeld,0,1,A,0,1,A,,9,15,4,2,11,11,8,4,0,3,0,0
2021-11-06,Wolfsburg,Augsburg,1,0,H,1,0,H,,9,13,4,3,14,13,0,8,2,3,0,0
2021-11-06,RB Leipzig,Dortmund,2,1,H,1,0,H,,15,9,7,3,12,18,5,6,3,5,0,0
2021-11-07,Hertha,Leverkusen,1,1,D,1,0,H,,15,8,5,3,13,13,5,6,1,3,0,0
2021-11-07,FC Koln,Union Berlin,2,2,D,1,2,A,,16,9,5,3,8,19,5,2,2,2,0,0
